date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:56:10	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226a5932f7-239b%22	https://sergiomarchado.github.io/robots.txt		(from )
18:56:11	13988/13988	---M-Z	200	added ('OK')	text/html	etag:W/%22691f37ba-36a4%22	https://sergiomarchado.github.io/Portfolio-Sergio-Marchado-Angular/	C:/Mis%20lugares%20Web/porr/sergiomarchado.github.io/Portfolio-Sergio-Marchado-Angular/index.html	(from )
18:56:11	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2016%20Jul%202026%2023:56:07%20GMT	https://fonts.gstatic.com/	C:/Mis%20lugares%20Web/porr/fonts.gstatic.com/index.html	(from https://sergiomarchado.github.io/Portfolio-Sergio-Marchado-Angular/)
18:56:11	25960/25960	---M--	200	added ('OK')	font/woff2	date:Tue,%2009%20Sep%202025%2018:38:38%20GMT	https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa2JL7SUc.woff2	C:/Mis%20lugares%20Web/porr/fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa2JL7SUc.woff2	(from https://sergiomarchado.github.io/Portfolio-Sergio-Marchado-Angular/)
18:56:11	102025/102025	---M-Z	200	added ('OK')	text/css	date:Mon,%2027%20Mar%202023%2017:46:59%20GMT	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css	C:/Mis%20lugares%20Web/porr/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css	(from https://sergiomarchado.github.io/Portfolio-Sergio-Marchado-Angular/)
18:56:12	2552/2552	---M--	200	added ('OK')	font/woff2	date:Thu,%2004%20Sep%202025%2017:08:34%20GMT	https://fonts.gstatic.com/s/manrope/v20/xn7gYHE41ni1AdIRggqxSuXd.woff2	C:/Mis%20lugares%20Web/porr/fonts.gstatic.com/s/manrope/v20/xn7gYHE41ni1AdIRggqxSuXd.woff2	(from https://sergiomarchado.github.io/Portfolio-Sergio-Marchado-Angular/)
18:56:12	129752/129752	---MCZ	200	added ('OK')	text/css	etag:W/%221fad8-F7Ja2cqA+84JXfQ4q1miRf08Ivo%22	https://cdn.jsdelivr.net/gh/devicons/devicon@latest/devicon.min.css	C:/Mis%20lugares%20Web/porr/cdn.jsdelivr.net/gh/devicons/devicon@latest/devicon.min.css	(from https://sergiomarchado.github.io/Portfolio-Sergio-Marchado-Angular/)
18:56:13	1571/1571	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2016%20Jul%202026%2023:56:09%20GMT	https://fonts.gstatic.com/robots.txt		(from https://sergiomarchado.github.io/Portfolio-Sergio-Marchado-Angular/)
18:56:13	1499628/1499628	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2216e1ec-MiZBywnmZ7zvYxoOBxeFAgSwdPM%22	https://cdn.jsdelivr.net/gh/devicons/devicon@latest/fonts/devicon.eot?qd25fp	C:/Mis%20lugares%20Web/porr/cdn.jsdelivr.net/gh/devicons/devicon@latest/fonts/deviconce4a.eot	(from https://cdn.jsdelivr.net/gh/devicons/devicon@latest/devicon.min.css)
18:56:14	1499464/1499464	---MCZ	200	added ('OK')	font/ttf	etag:W/%2216e148-NaPeeW+AqXCMoMqnUC5N3bsDYDs%22	https://cdn.jsdelivr.net/gh/devicons/devicon@latest/fonts/devicon.ttf?qd25fp	C:/Mis%20lugares%20Web/porr/cdn.jsdelivr.net/gh/devicons/devicon@latest/fonts/deviconce4a.ttf	(from https://cdn.jsdelivr.net/gh/devicons/devicon@latest/devicon.min.css)
18:56:14	1499540/1499540	---M--	200	added ('OK')	font/woff	etag:W/%2216e194-pwJBLoLlVEUBeKybbTIRQ976GyI%22	https://cdn.jsdelivr.net/gh/devicons/devicon@latest/fonts/devicon.woff?qd25fp	C:/Mis%20lugares%20Web/porr/cdn.jsdelivr.net/gh/devicons/devicon@latest/fonts/deviconce4a.woff	(from https://cdn.jsdelivr.net/gh/devicons/devicon@latest/devicon.min.css)
18:56:15	58/58	---M--	400	error ('Bad%20Request')	text/plain	etag:W/%223a-taO9i3TG0dz45Oeau8VRWJD4Xi8%22	https://cdn.jsdelivr.net/robots.txt		(from https://cdn.jsdelivr.net/gh/devicons/devicon@latest/devicon.min.css)
18:56:16	6748292/6748292	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2266f884-ZNKAOSs8iqSmATcVBQcC3S/8Uko%22	https://cdn.jsdelivr.net/gh/devicons/devicon@latest/fonts/devicon.svg?qd25fp	C:/Mis%20lugares%20Web/porr/cdn.jsdelivr.net/gh/devicons/devicon@latest/fonts/deviconce4a.svg	(from https://cdn.jsdelivr.net/gh/devicons/devicon@latest/devicon.min.css)
